St1_Pelvis_X,St1_Pelvis_Y,St1_Pelvis_Z,St2_Pelvis_X,St2_Pelvis_Y,St2_Pelvis_Z,St1_Hip_X,St1_Hip_Y,St1_Hip_Z,St2_Hip_X,St2_Hip_Y,St2_Hip_Z,St1_Knee_X,St1_Knee_Y,St1_Knee_Z,St2_Knee_X,St2_Knee_Y,St2_Knee_Z,St1_Ankle_X,St1_Ankle_Y,St1_Ankle_Z,St2_Ankle_X,St2_Ankle_Y,St2_Ankle_Z
-11.3942116,3.4734478,0.5853404,64.1267484,12.0478042,-2.4423828,6.43133,-0.9154798,-0.0382636,8.9164118,-0.476309,-0.2828726,0.5215898,1.3449192,-0.199262,-1.2886492,0.3185544,-0.483922,-0.2189234,0.6516728,-0.0835444,1.8438686,0.9286536,-0.3832318
-11.7212396,2.7465056,0.6012284,64.130257,11.5093334,-2.5372474,5.838178,-0.7007932,-0.060904,8.3295488,-0.500803,-0.3838276,0.7713624,1.6608918,-0.2455358,-1.1545942,0.4150078,-0.5446936,-0.2284562,0.7695088,-0.1041326,2.1418348,1.034706,-0.432617
-12.0081504,1.9521718,0.6363144,64.1172818,10.902478,-2.6029178,5.256611,-0.4645916,-0.0776526,7.6839002,-0.5300634,-0.4865038,0.9941254,1.9859338,-0.2931336,-1.0132572,0.515698,-0.6028834,-0.2142894,0.8987974,-0.1251842,2.4691938,1.1400302,-0.4792218
-12.2387912,1.0950142,0.6933126,64.1086096,10.2386906,-2.6303246,4.7050326,-0.2084638,-0.0867882,7.0013782,-0.560714,-0.5866644,1.1788896,2.3145506,-0.3410624,-0.8775472,0.6185066,-0.6567702,-0.1738412,1.0387442,-0.1461034,2.825747,1.2446924,-0.5211926
-12.4021066,0.1811232,0.773878,64.1260864,9.5302182,-2.6115238,4.1976758,0.0660014,-0.0869206,6.3077346,-0.5893786,-0.6804036,1.3172476,2.6416448,-0.3883954,-0.7626902,0.720587,-0.7046328,-0.106251,1.1878928,-0.1664268,3.2108324,1.3494208,-0.557404
-12.4930654,-0.7817558,0.8782754,64.1885792,8.7901022,-2.540425,3.743279,0.3566194,-0.0772554,5.6294494,-0.613674,-0.764279,1.4043668,2.9626486,-0.4343382,-0.683515,0.8182982,-0.745412,-0.0123132,1.3445882,-0.1855586,3.6229936,1.4549436,-0.5869292
-12.5132564,-1.7842886,1.0054456,64.3076068,8.0325094,-2.4141154,3.3451522,0.661007,-0.0573954,4.9897588,-0.632541,-0.836106,1.4387908,3.2737886,-0.4780964,-0.6525996,0.9075358,-0.7783796,0.1059862,1.5066458,-0.2029692,4.0595164,1.5617904,-0.6094372
-12.4700278,-2.8152874,1.1526082,64.4835002,7.2731292,-2.2337866,3.0013094,0.9758542,-0.0279364,4.4045508,-0.6473036,-0.8952226,1.422307,3.5713576,-0.519008,-0.6777556,0.9835334,-0.803337,0.245602,1.6718148,-0.2183276,4.5157006,1.6697626,-0.6250604
-12.3756928,-3.8619756,1.3159236,64.7033504,6.5293722,-2.0047346,2.7050644,1.2971228,0.0101948,3.8797172,-0.6625958,-0.9425556,1.359417,3.8519794,-0.5563448,-0.7603732,1.0411936,-0.820218,0.4029594,1.8376458,-0.2311704,4.9855882,1.7780658,-0.6343946
-12.2465366,-4.9102526,1.4904268,64.9420014,5.8202378,-1.7360288,2.4461562,1.6196492,0.055277,3.4101606,-0.6862954,-0.9812164,1.2569394,4.1122778,-0.5896434,-0.895355,1.0744922,-0.8295522,0.5741526,2.001226,-0.2411666,5.461831,1.8845154,-0.6383666
-12.1008966,-5.9456206,1.6706894,65.1656912,5.1648578,-1.4393204,2.2120068,1.9376078,0.1051918,2.9815156,-0.7289944,-1.0153756,1.123083,4.3489428,-0.6183742,-1.0720428,1.0771402,-0.8317368,0.7552096,2.1598412,-0.2480514,5.9368822,1.9859338,-0.6379032
-11.9571764,-6.9535818,1.8511506,65.337745,4.5815696,-1.126724,1.9895748,2.2446434,0.1576884,2.5739884,-0.8024764,-1.0497334,0.9665862,4.558863,-0.64214,-1.2765346,1.0429148,-0.8270366,0.942357,2.3109096,-0.2517586,6.4033274,2.0782828,-0.6337988
-11.8323232,-7.9202342,2.0266468,65.424136,4.0866584,-0.8100894,1.7667456,2.5344008,0.2102512,2.1671894,-0.9183264,-1.088328,0.7955916,4.7389932,-0.6608084,-1.4947298,0.9661228,-0.815253,1.1319538,2.4521804,-0.2520896,6.854348,2.157789,-0.6264506
-11.7403052,-8.8328674,2.1926764,65.3992448,3.6934966,-0.4994128,1.533854,2.8003924,0.2606294,1.7452968,-1.0871364,-1.134668,0.617315,4.8866192,-0.6740484,-1.714911,0.8415344,-0.7959888,1.3210872,2.5816676,-0.2491106,7.2841184,2.22101,-0.6159248
-11.6908538,-9.6803598,2.3456646,65.2478454,3.4117494,-0.2029692,1.28428,3.0364616,0.3065722,1.2995722,-1.3172476,-1.190938,0.4371186,4.9989606,-0.68186,-1.9291342,0.6650452,-0.768582,1.5071092,2.6977824,-0.2430202,7.688468,2.2656288,-0.602089
-11.6893312,-10.4533772,2.4830958,64.9658334,3.246117,0.0736144,1.0153094,3.2371138,0.3464246,0.8284268,-1.6146842,-1.2583958,0.2587096,5.0739652,-0.6842432,-2.1335598,0.4334114,-0.7325692,1.6879676,2.7997304,-0.234017,8.0646826,2.290189,-0.5846784
-11.736929,-11.1447038,2.6035798,64.5581738,3.196136,0.3264984,0.7270746,3.3974502,0.3787302,0.3360312,-1.9826238,-1.3371738,0.0839416,5.1098456,-0.6811318,-2.327923,0.144978,-0.6872884,1.8621398,2.8870482,-0.2222996,8.4112396,2.2940948,-0.5634944
-11.831595,-11.7494408,2.7066532,64.035922,3.2558484,0.5536306,0.4221574,3.513565,0.4023636,-0.1695382,-2.4217284,-1.4266762,-0.0866558,5.1054102,-0.672592,-2.5140112,-0.200586,-0.6322762,2.0285004,2.9598682,-0.2081328,8.728139,2.2775448,-0.538206
-11.9690924,-12.2648078,2.7923822,63.4131124,3.4151918,0.7538194,0.1045298,3.582413,0.416729,-0.6786162,-2.931005,-1.5259762,-0.253215,5.0602618,-0.6587562,-2.6948696,-0.6023538,-0.5674002,2.1865198,3.0184552,-0.1917152,9.0161752,2.2412672,-0.5086146
-12.1438604,-12.6907386,2.8612964,62.7055668,3.6599332,0.9266014,-0.2215052,3.602273,0.421363,-1.1808094,-3.5070774,-1.633485,-0.4163318,4.9746652,-0.6398892,-2.874073,-1.0580084,-0.4924618,2.3359994,3.0634712,-0.173444,9.2767384,2.1864536,-0.474654
-12.3500072,-13.0294178,2.914455,61.9297028,3.972993,1.0723076,-0.5516446,3.5729464,0.4161332,-1.6658568,-4.1443186,-1.7471504,-0.5768668,4.8499444,-0.6161896,-3.0553948,-1.5631806,-0.407461,2.4769392,3.0955782,-0.1535178,9.511947,2.1150238,-0.4360594
-12.5813762,-13.2854132,2.9530496,61.1020704,4.334776,1.1919972,-0.882115,3.4958234,0.401503,-2.1238946,-4.8347184,-1.8642582,-0.7354158,4.6884164,-0.587856,-3.2425422,-2.112111,-0.3125302,2.6094716,3.1157692,-0.1322014,9.723787,2.02903,-0.3924336
-12.832208,-13.4653448,2.9786028,60.2387562,4.7247602,1.2871266,-1.2093416,3.3737506,0.3782006,-2.5459196,-5.5686116,-1.9815646,-0.8928394,4.4935236,-0.5552856,-3.4389576,-2.6979148,-0.2077356,2.733729,3.125302,-0.1094286,9.914774,1.9307892,-0.3435118
