St1_Pelvis_X,St1_Pelvis_Y,St1_Pelvis_Z,St2_Pelvis_X,St2_Pelvis_Y,St2_Pelvis_Z,St1_Hip_X,St1_Hip_Y,St1_Hip_Z,St2_Hip_X,St2_Hip_Y,St2_Hip_Z,St1_Knee_X,St1_Knee_Y,St1_Knee_Z,St2_Knee_X,St2_Knee_Y,St2_Knee_Z,St1_Ankle_X,St1_Ankle_Y,St1_Ankle_Z,St2_Ankle_X,St2_Ankle_Y,St2_Ankle_Z
4.203279,2.542518,-0.215358,2.929702,-0.396507,4.876916,16.191505,-2.463839,14.190413,18.002048,-2.015093,10.754877,4.33301,0.754471,-34.778793,4.411384,1.095868,-36.507057,1.038061,5.728446,10.304201,1.351586,5.636182,11.260092
4.177324,2.510657,-0.166876,2.91259,-0.40612,4.959149,16.155766,-2.446925,14.18247,17.877096,-1.995929,10.771496,4.369023,0.728456,-34.75742,4.41608,1.115012,-36.563885,0.905917,5.661116,10.345325,1.316814,5.437466,11.240911
4.150541,2.479498,-0.119597,2.897425,-0.414819,5.038231,16.120834,-2.428051,14.174252,17.749378,-1.973626,10.783384,4.40603,0.702438,-34.733791,4.427364,1.134375,-36.625099,0.765325,5.590031,10.387743,1.266438,5.233921,11.225137
4.122929,2.449324,-0.073826,2.884231,-0.422214,5.113513,16.087067,-2.407043,14.165944,17.619417,-1.947602,10.790437,4.444645,0.67679,-34.707687,4.445209,1.153823,-36.68932,0.617039,5.515677,10.431004,1.200435,5.026858,11.213196
4.094504,2.420423,-0.029878,2.873004,-0.427873,5.184363,16.054808,-2.383712,14.157745,17.487774,-1.917277,10.792588,4.485591,0.65191,-34.678925,4.46963,1.173257,-36.754997,0.461995,5.438637,10.474611,1.11908,4.817744,11.205443
4.065302,2.393081,0.011928,2.863716,-0.43133,5.250187,16.024391,-2.357859,14.14986,17.355032,-1.88208,10.789817,4.529679,0.628215,-34.647339,4.500708,1.192623,-36.820431,0.301304,5.359566,10.518033,1.022952,4.608178,11.202162
4.035376,2.36758,0.051274,2.856314,-0.432095,5.310437,15.996143,-2.329282,14.142497,17.221798,-1.841462,10.782134,4.577794,0.606131,-34.612789,4.538584,1.211918,-36.883862,0.136237,5.279194,10.560715,0.91293,4.399889,11.203536
4.004799,2.344188,0.087849,2.850724,-0.429663,5.364633,15.970356,-2.297777,14.135865,17.088671,-1.79491,10.769589,4.630856,0.586086,-34.575188,4.583457,1.231194,-36.943489,-0.031798,5.198296,10.602096,0.790179,4.194694,11.209661
3.97366,2.323156,0.121357,2.846852,-0.423526,5.412374,15.947282,-2.263149,14.130166,16.956245,-1.741962,10.752265,4.689794,0.568496,-34.534489,4.635574,1.250559,-36.997555,-0.201284,5.117676,10.641609,0.656128,3.994477,11.220532
3.942063,2.304709,0.151519,2.844591,-0.413192,5.453351,15.927139,-2.225219,14.125584,16.825081,-1.682216,10.730276,4.755521,0.553758,-34.490711,4.695202,1.270174,-37.044388,-0.370623,5.038153,10.678719,0.512422,3.801144,11.236048
3.910128,2.289043,0.178086,2.843826,-0.398197,5.487355,15.910088,-2.183827,14.122292,16.695681,-1.615349,10.703773,4.828893,0.542236,-34.443916,4.762615,1.290246,-37.082493,-0.538172,4.960533,10.712912,0.360891,3.616586,11.256021
3.87799,2.276318,0.20084,2.844434,-0.378127,5.514279,15.896229,-2.138843,14.120443,16.568491,-1.541129,10.672938,4.910678,0.534251,-34.394222,4.838054,1.311025,-37.110584,-0.702281,4.885588,10.743719,0.203484,3.442636,11.280188
3.845793,2.266649,0.219606,2.846293,-0.352628,5.534129,15.885597,-2.090173,14.120158,16.443863,-1.459421,10.637989,5.001534,0.530067,-34.341808,4.921709,1.332782,-37.127644,-0.861334,4.814046,10.770729,0.042215,3.281023,11.308213
3.813693,2.260108,0.234251,2.849286,-0.321432,5.547015,15.87816,-2.037761,14.121533,16.322048,-1.370206,10.599179,5.101974,0.529888,-34.286903,5.013682,1.355806,-37.13295,-1.013782,4.746565,10.793592,-0.120896,3.133337,11.339719
3.781849,2.256716,0.244695,2.853302,-0.28436,5.553147,15.873805,-1.981599,14.124627,16.20319,-1.273578,10.556799,5.212349,0.533845,-34.229771,5.113964,1.380387,-37.126106,-1.158182,4.683717,10.812035,-0.283889,3.000991,11.374279
3.750428,2.256439,0.250914,2.858243,-0.241343,5.552835,15.872349,-1.921728,14.129464,16.087313,-1.169754,10.511175,5.332826,0.541988,-34.170708,5.222416,1.4068,-37.107052,-1.293236,4.625976,10.825857,-0.444912,2.885189,11.41145
3.719599,2.259192,0.252941,2.864022,-0.19242,5.546481,15.87353,-1.858239,14.136027,15.974323,-1.059066,10.462663,5.463382,0.554286,-34.11005,5.338755,1.435295,-37.076061,-1.417809,4.573703,10.834949,-0.602272,2.78691,11.450782
3.689527,2.264833,0.250869,2.870565,-0.13775,5.53456,15.877024,-1.791276,14.14426,15.864009,-0.941964,10.411651,5.603801,0.570624,-34.048134,5.462539,1.466088,-37.033722,-1.530962,4.527143,10.839287,-0.754483,2.706885,11.491826
3.660375,2.27317,0.244852,2.877806,-0.077604,5.51762,15.882427,-1.721035,14.154061,15.756055,-0.819006,10.358545,5.753671,0.590802,-33.98531,5.593178,1.499342,-36.98093,-1.631961,4.48642,10.838929,-0.900299,2.645592,11.534158
3.632302,2.28396,0.235102,2.885688,-0.012362,5.496265,15.889285,-1.647758,14.165286,15.650052,-0.690844,10.303777,5.912388,0.614538,-33.921909,5.729929,1.535168,-36.918846,-1.720302,4.451526,10.834024,-1.038734,2.60326,11.577384
3.605456,2.296912,0.221893,2.894157,0.057495,5.471144,15.897088,-1.571734,14.177747,15.54552,-0.558213,10.247778,6.079177,0.641471,-33.858257,5.871915,1.573615,-36.848866,-1.795707,4.422328,10.824802,-1.169085,2.579869,11.621158
3.579971,2.311698,0.205547,2.903161,0.131395,5.442935,15.905286,-1.493289,14.191218,15.441927,-0.421916,10.190988,6.253106,0.671172,-33.794662,6.018141,1.614668,-36.772575,-1.858124,4.398577,10.811566,-1.290925,2.575166,11.665183
3.555971,2.327955,0.186437,2.912642,0.208695,5.412334,15.913295,-1.412784,14.205428,15.338712,-0.282808,10.133837,6.433103,0.703152,-33.73138,6.167517,1.658249,-36.691689,-1.907722,4.379911,10.794686,-1.404101,2.588679,11.70922
3.533564,2.345293,0.164976,2.922538,0.288695,5.380041,15.920518,-1.330608,14.220073,15.235306,-0.141775,10.076749,6.617985,0.736867,-33.668644,6.318882,1.70422,-36.608025,-1.944882,4.365863,10.77459,-1.508718,2.619735,11.75309
3.512836,2.363301,0.141614,2.932775,0.37065,5.346739,15.926349,-1.247167,14.23481,15.13116,0.000282,10.020126,6.806483,0.771734,-33.606647,6.471037,1.75239,-36.523407,-1.970177,4.355882,10.751747,-1.605113,2.667477,11.79667
3.493857,2.381561,0.116822,2.94327,0.4538,5.313085,15.930187,-1.162879,14.249273,15.025762,0.142467,9.964355,6.99727,0.807146,-33.545528,6.622768,1.802521,-36.439663,-1.984349,4.349341,10.726665,-1.693817,2.730892,11.839892
3.476676,2.399649,0.091091,2.953928,0.537378,5.279692,15.93145,-1.078167,14.263077,14.918654,0.2839,9.909795,7.188987,0.84248,-33.485394,6.772882,1.854344,-36.358513,-1.988289,4.345562,10.699866,-1.775526,2.808821,11.882736
3.461318,2.417147,0.064918,2.96464,0.620632,5.247122,15.929585,-0.99345,14.275813,14.809453,0.423747,9.856782,7.380277,0.877114,-33.426289,6.920236,1.907568,-36.28159,-1.983007,4.34383,10.671885,-1.85105,2.899992,11.925227
3.447786,2.433656,0.038795,2.975289,0.702844,5.215868,15.924079,-0.909138,14.287069,14.697855,0.561222,9.805624,7.569811,0.910443,-33.368256,7.063763,1.96189,-36.210316,-1.969605,4.343411,10.643244,-1.921267,3.003031,11.967422
3.436059,2.448792,0.013202,2.985744,0.78334,5.186347,15.914473,-0.82562,14.296438,14.58365,0.695611,9.756601,7.75631,0.94189,-33.311256,7.202506,2.017014,-36.145939,-1.949246,4.343578,10.614452,-1.987076,3.116488,12.009412
3.426092,2.462203,-0.011402,2.995869,0.861508,5.15889,15.900362,-0.743268,14.303514,14.466716,0.82628,9.709966,7.938579,0.970923,-33.25526,7.335636,2.072659,-36.089439,-1.923127,4.343624,10.585999,-2.049349,3.238853,12.051312
