St1_VL,St2_VL,St1_BF,St2_BF,St1_TA,St2_TA,St1_GAL,St2_GAL
0.025623,-0.032341,-0.002988,0.010954,0.063456,-0.017583,0.009421,-0.007853
-0.040764,-0.025534,-0.001834,-0.001594,-0.012679,-0.006527,0.004369,-0.002505
-0.035796,0.007501,0.00306,-0.000864,-0.00939,-0.016544,-0.004368,0.001228
0.017956,0.021845,-0.00283,0.005183,-0.010861,0.000299,0.000294,-0.001653
0.021657,0.025633,-0.008668,0.00161,-0.001446,0.017458,-0.004063,-0.003238
0.085991,0.047803,0.007786,-0.003447,0.052237,0.016211,0.001683,0.004627
0.017456,-0.107101,0.004644,-0.001601,-0.064777,0.003241,-0.008261,0.002335
-0.063365,-0.015802,-0.004941,-0.005195,0.01307,-0.010552,0.00289,-0.004371
-0.019026,0.008243,0.000355,-0.00169,-0.013657,-0.030064,0.000807,-0.00775
0.005284,0.015176,0.001706,0.00635,0.006687,0.03456,-0.001534,0.0057
-0.005872,0.028799,-0.007003,-0.001575,-0.002195,0.036949,-0.003314,0.006214
0.010358,0.025924,-0.004901,0.003352,-0.008728,0.057232,0.000752,0.010952
0.003166,-0.081411,-0.013603,-0.003419,-0.016691,-0.0046,-0.000912,-0.009073
-0.001632,-0.023584,0.0229,0.003307,-0.015493,0.053921,-0.000806,0.001171
0.060809,0.078656,0.006139,-0.000548,0.003353,-0.071931,0.000673,0.002182
-0.020922,-0.079615,-0.001972,-0.007188,-0.006083,-0.01001,-0.003069,-0.000861
-0.033549,0.008101,-4e-06,0.006011,-0.069388,0.053305,-0.010135,0.005145
0.037653,0.087091,0.000354,-0.003536,0.088395,-0.00986,0.00858,-0.000322
0.03917,-0.173279,-0.004537,0.000297,-0.149889,0.019652,-0.011293,0.000743
-0.0409,-0.017507,0.003635,-0.000246,0.371382,-0.013735,0.038676,-0.000519
0.001545,0.012491,0.003594,-0.002261,0.029992,0.03205,-0.002504,0.007795
-0.000192,0.007812,-0.003867,0.012974,-0.025183,0.015054,-0.004199,-0.000546
0.032115,0.011998,0.001699,-0.003711,-0.022328,0.01745,-0.003324,-0.005884
-0.001899,0.006858,-0.007023,-0.048975,-0.01019,0.006956,-0.002107,0.00091
-0.023183,-0.022438,0.006284,0.016976,-0.000156,-0.029277,-7.8e-05,-0.007717
-0.005038,0.011919,-0.005456,0.012263,0.002459,-0.154068,-9.7e-05,-0.005176
0.002851,-0.000291,0.00619,0.014071,0.006944,0.386483,0.004354,0.038239
0.018794,0.006723,0.019548,0.011655,0.01514,0.105225,-0.00235,0.005351
-0.00178,-0.013549,-0.067694,-0.00708,-0.000214,-0.032432,-0.000421,-0.004056
-0.018937,0.008443,-0.008489,-0.006953,0.001893,-0.19815,0.005199,-0.012041
0.041937,0.073273,0.00752,0.024026,0.005808,0.40265,0.000427,0.035633
0.027561,-0.124525,0.01296,-0.015896,-0.003605,0.046214,-0.001362,-0.002661
-0.056523,0.014106,0.003934,-0.000923,-0.445537,0.035487,-0.035713,0.005881
0.000872,-0.044777,0.011015,-0.003553,0.364718,0.073521,0.043998,-0.000257
-0.020375,0.003175,-0.001692,0.000562,0.090529,-0.065703,0.007762,-0.005748
-0.001853,0.014686,-0.010619,0.006139,0.039588,-0.178052,-0.004692,-0.013329
0.033594,0.003956,-0.000766,-0.005381,-0.106352,0.057615,-0.006301,0.012226
0.094321,0.012916,-0.005492,-0.014173,-0.062128,0.096827,-0.006471,0.003551
-0.075703,0.002667,-0.001094,0.000829,-0.066966,0.02886,-0.007945,-0.002643
-0.032186,0.043764,-0.003731,-0.001682,-0.086912,0.013586,-0.008083,-0.000557
0.004036,-0.103512,-0.000929,-0.012621,-0.017747,-0.265081,0.005853,-0.015987
0.021004,-0.059212,0.003258,0.012079,0.025595,-0.059997,0.001706,-0.000847
0.014008,0.0086,0.003607,0.047631,-0.017908,0.310496,0.000911,0.02193
-0.017464,0.01494,0.006095,0.022001,0.002372,-0.020065,-0.002949,-0.002347
0.000432,0.045163,-0.001898,-0.064212,0.001395,0.483005,0.001347,0.037457
0.032685,-0.037003,-0.005072,0.03552,0.014586,0.093887,0.000471,-0.001149
-0.010607,0.014848,-0.004907,-0.062844,0.011591,0.018569,0.000297,0.001413
0.036937,0.003577,0.005586,-0.001095,-0.029826,-0.044769,-0.00301,-0.011974
-0.120657,0.012557,-0.006047,0.013042,-0.04512,-0.01001,-0.005188,0.001603
-0.034569,-0.015014,0.003539,0.022935,-0.034256,-0.068952,-0.002923,-0.002313
-0.001933,-0.008844,-0.003271,-0.0123,-0.064358,-0.010351,0.000429,-0.002919
0.014804,0.02597,-0.013192,0.006047,0.04317,-0.027648,0.00378,-0.003337
0.037182,0.015995,0.00407,0.008484,0.0013,-0.013569,-0.001036,-0.001319
0.021771,0.005372,0.001087,0.003346,-0.134571,0.027667,-0.006848,0.00016
-0.009128,-0.073825,-0.004792,-0.002763,0.079857,0.014762,0.006287,0.001917
0.018496,0.018244,0.000947,0.002673,0.03155,-0.207565,0.001063,-0.022036
-0.031846,-0.019063,-0.009991,-0.012609,-0.021308,0.333325,-0.002359,0.034622
0.016372,0.054357,-0.001409,0.006454,0.036175,0.08949,-0.000587,0.006168
