St1_Pelvis_X,St1_Pelvis_Y,St1_Pelvis_Z,St2_Pelvis_X,St2_Pelvis_Y,St2_Pelvis_Z,St1_Hip_X,St1_Hip_Y,St1_Hip_Z,St2_Hip_X,St2_Hip_Y,St2_Hip_Z,St1_Knee_X,St1_Knee_Y,St1_Knee_Z,St2_Knee_X,St2_Knee_Y,St2_Knee_Z,St1_Ankle_X,St1_Ankle_Y,St1_Ankle_Z,St2_Ankle_X,St2_Ankle_Y,St2_Ankle_Z
-0.192452,0.016665,0.010478,0.96293,0.202154,-0.020031,0.055989,0.012772,0.00426,0.103833,-0.054874,-0.022932,0.021981,0.032083,-0.001456,-0.002288,-0.026247,-0.007383,-0.004444,0.008671,0.001629,0.027028,0.008254,-0.008275
-0.200134,0.005879,0.010981,0.963534,0.200845,-0.02033,0.042903,0.016251,0.004162,0.094816,-0.05941,-0.025254,0.02713,0.037329,-0.001937,-0.001008,-0.028938,-0.007861,-0.004652,0.010326,0.001621,0.031375,0.009017,-0.00895
-0.206918,-0.006028,0.011812,0.963203,0.198515,-0.020548,0.030098,0.020093,0.004145,0.084618,-0.064297,-0.027598,0.031768,0.042708,-0.002456,0.000366,-0.031824,-0.008232,-0.004459,0.012159,0.001596,0.036121,0.009702,-0.009549
-0.21245,-0.018966,0.013008,0.96226,0.195111,-0.020562,0.017966,0.02426,0.004225,0.073701,-0.069364,-0.029879,0.035672,0.048113,-0.003004,0.001593,-0.034847,-0.008486,-0.003811,0.014161,0.001555,0.041253,0.01033,-0.010055
-0.216474,-0.032817,0.014582,0.961116,0.190602,-0.020258,0.006822,0.028703,0.004413,0.062668,-0.074455,-0.032018,0.038671,0.053441,-0.00357,0.002369,-0.037962,-0.008619,-0.002684,0.016314,0.001501,0.04675,0.010942,-0.010456
-0.218848,-0.047435,0.016526,0.960196,0.184995,-0.019542,-0.003116,0.033353,0.004714,0.052167,-0.079434,-0.033945,0.040656,0.058597,-0.004141,0.002375,-0.04113,-0.008631,-0.00108,0.018592,0.00144,0.05258,0.011593,-0.010745
-0.219555,-0.062643,0.018805,0.959843,0.178348,-0.018349,-0.011733,0.038127,0.005127,0.042774,-0.084185,-0.035603,0.041586,0.06349,-0.004701,0.001345,-0.044312,-0.008524,0.000974,0.020961,0.001381,0.058688,0.012337,-0.010917
-0.218696,-0.078237,0.021361,0.960234,0.170778,-0.016651,-0.019014,0.042925,0.005643,0.034892,-0.088628,-0.03695,0.041477,0.068039,-0.005232,-0.000884,-0.047472,-0.0083,0.003431,0.023382,0.001333,0.065002,0.013213,-0.010969
-0.216476,-0.093991,0.024116,0.961333,0.162462,-0.014462,-0.02504,0.047633,0.006246,0.028684,-0.092731,-0.03797,0.040406,0.072169,-0.005715,-0.004338,-0.050584,-0.00796,0.006229,0.025811,0.001309,0.071432,0.014231,-0.010897
-0.21319,-0.109663,0.026972,0.962888,0.153612,-0.011842,-0.029972,0.052122,0.006913,0.024057,-0.096517,-0.038666,0.038494,0.075812,-0.006132,-0.008902,-0.053641,-0.0075,0.009295,0.028202,0.001318,0.077873,0.015367,-0.0107
-0.209193,-0.125011,0.029825,0.964501,0.144453,-0.008886,-0.034036,0.056259,0.007616,0.020728,-0.100052,-0.039063,0.035901,0.078908,-0.006467,-0.014356,-0.056646,-0.006917,0.012551,0.030507,0.001372,0.084217,0.016576,-0.010377
-0.204865,-0.139798,0.032566,0.965726,0.135199,-0.005707,-0.037488,0.05991,0.008321,0.018326,-0.103432,-0.039198,0.032805,0.081406,-0.006705,-0.020435,-0.05962,-0.006208,0.015914,0.032679,0.001479,0.090362,0.017803,-0.009931
-0.200577,-0.15381,0.035095,0.966168,0.126044,-0.002424,-0.04059,0.062951,0.008997,0.016486,-0.106773,-0.039118,0.029386,0.083265,-0.006835,-0.026885,-0.062596,-0.005375,0.019305,0.034673,0.001645,0.096219,0.018991,-0.009369
-0.196654,-0.166863,0.037324,0.965526,0.117148,0.000845,-0.043575,0.065277,0.009612,0.014919,-0.110209,-0.038878,0.025811,0.084457,-0.006849,-0.033491,-0.065626,-0.004422,0.022647,0.036454,0.001871,0.101715,0.020096,-0.008705
-0.193352,-0.178808,0.039185,0.963615,0.108645,0.00398,-0.046627,0.066807,0.010135,0.013423,-0.113888,-0.038545,0.022216,0.084967,-0.006749,-0.04009,-0.068781,-0.003363,0.025874,0.037993,0.002153,0.106801,0.021079,-0.007964
-0.190848,-0.189538,0.040628,0.960335,0.100653,0.006859,-0.049872,0.067489,0.010541,0.011875,-0.117966,-0.038192,0.018704,0.084794,-0.006539,-0.046562,-0.072148,-0.002221,0.028932,0.039277,0.002484,0.111439,0.02191,-0.007177
-0.189246,-0.19899,0.041626,0.95565,0.093277,0.009365,-0.053382,0.0673,0.01081,0.010205,-0.12259,-0.037894,0.015347,0.083953,-0.006229,-0.052819,-0.075816,-0.00102,0.031776,0.040298,0.002851,0.115609,0.022559,-0.006381
-0.188583,-0.207139,0.042175,0.949564,0.086623,0.011402,-0.057184,0.066248,0.010931,0.008374,-0.127881,-0.037709,0.01219,0.082472,-0.005829,-0.058794,-0.079868,0.000221,0.034371,0.041059,0.003245,0.119305,0.022995,-0.005607
-0.18884,-0.213991,0.042287,0.942115,0.08079,0.012901,-0.061267,0.064358,0.0109,0.006369,-0.133927,-0.037684,0.009255,0.080392,-0.005348,-0.064445,-0.084373,0.001483,0.036693,0.041568,0.003658,0.122538,0.023196,-0.00488
-0.189952,-0.219582,0.041993,0.933372,0.075868,0.013822,-0.065589,0.061675,0.010722,0.004199,-0.140782,-0.037851,0.006547,0.077763,-0.004793,-0.069752,-0.089382,0.002754,0.038731,0.041837,0.004083,0.12533,0.023152,-0.004222
-0.191819,-0.223959,0.041331,0.923439,0.071933,0.014157,-0.070081,0.05826,0.010406,0.0019,-0.148464,-0.038225,0.004056,0.074638,-0.004173,-0.074722,-0.094923,0.004025,0.040484,0.041881,0.004516,0.127718,0.02287,-0.003645
-0.194312,-0.22719,0.040345,0.912478,0.069038,0.013941,-0.074652,0.054181,0.009961,-0.000464,-0.156949,-0.038795,0.001756,0.071078,-0.003497,-0.079393,-0.101002,0.005302,0.041961,0.04172,0.00495,0.129754,0.022373,-0.003144
-0.197284,-0.229354,0.039084,0.900714,0.067205,0.013243,-0.079199,0.049523,0.009403,-0.002808,-0.166174,-0.039525,-0.000386,0.067148,-0.002774,-0.083828,-0.107597,0.006602,0.043182,0.04138,0.00538,0.131502,0.021696,-0.002701
-0.200576,-0.230551,0.037602,0.888418,0.066424,0.012158,-0.083605,0.044385,0.008748,-0.005033,-0.17605,-0.040365,-0.002414,0.062922,-0.002017,-0.088107,-0.114675,0.007949,0.044173,0.04089,0.005801,0.133036,0.020877,-0.002289
-0.204027,-0.2309,0.035955,0.875876,0.066645,0.010784,-0.087756,0.038883,0.008019,-0.007044,-0.18648,-0.041267,-0.004375,0.058485,-0.001238,-0.09231,-0.122196,0.009364,0.044962,0.040286,0.006208,0.134431,0.019951,-0.00188
-0.207484,-0.230532,0.034203,0.863375,0.067777,0.009217,-0.091543,0.033136,0.007236,-0.008756,-0.197366,-0.042188,-0.006314,0.053923,-0.000449,-0.096512,-0.130117,0.010859,0.045575,0.039601,0.0066,0.135757,0.018949,-0.001458
-0.21081,-0.229586,0.032402,0.851178,0.069687,0.007545,-0.094873,0.027269,0.006425,-0.010107,-0.208609,-0.043096,-0.008268,0.049326,0.000338,-0.100776,-0.13839,0.012437,0.046038,0.03887,0.006972,0.137074,0.017901,-0.001013
-0.213892,-0.228199,0.030605,0.839513,0.072218,0.00585,-0.097675,0.021396,0.005606,-0.011057,-0.220108,-0.043963,-0.010268,0.044781,0.001112,-0.10515,-0.146962,0.014099,0.046373,0.038123,0.007326,0.138436,0.01683,-0.000537
-0.216641,-0.226511,0.028862,0.828557,0.075198,0.004211,-0.099902,0.015627,0.004801,-0.01159,-0.231771,-0.044763,-0.012335,0.040372,0.001862,-0.109668,-0.155781,0.015842,0.046603,0.037387,0.007661,0.13989,0.015754,-2.5e-05
-0.21899,-0.22466,0.027215,0.818436,0.078446,0.002706,-0.101526,0.010063,0.004024,-0.01171,-0.24351,-0.045468,-0.01448,0.036176,0.002574,-0.114353,-0.164795,0.017668,0.046748,0.03669,0.007973,0.141474,0.014684,0.000532
-0.220898,-0.222789,0.025698,0.809208,0.08178,0.001402,-0.102545,0.004804,0.003289,-0.011434,-0.255252,-0.046056,-0.016712,0.032269,0.003234,-0.119215,-0.173959,0.019578,0.046826,0.036054,0.008261,0.143212,0.013622,0.001143
-0.222345,-0.221037,0.024339,0.800875,0.085022,0.000347,-0.102978,-5.9e-05,0.002606,-0.010796,-0.266954,-0.046514,-0.019031,0.028721,0.003827,-0.124247,-0.18324,0.02157,0.046854,0.035501,0.008518,0.14512,0.01256,0.00181
-0.223329,-0.219543,0.023161,0.79339,0.08802,-0.000428,-0.102864,-0.004441,0.001981,-0.009844,-0.278605,-0.046844,-0.02143,0.025596,0.004336,-0.129428,-0.19263,0.023636,0.046845,0.035052,0.00874,0.147196,0.011476,0.002528
-0.223868,-0.218436,0.022182,0.786674,0.09065,-0.000919,-0.102259,-0.00827,0.001425,-0.008638,-0.290223,-0.047063,-0.0239,0.022948,0.00475,-0.134722,-0.202137,0.025763,0.046812,0.03472,0.008924,0.149429,0.010338,0.003282
-0.22399,-0.21783,0.021417,0.780621,0.092817,-0.001138,-0.101233,-0.011487,0.000944,-0.007243,-0.301847,-0.047201,-0.026427,0.020819,0.005063,-0.140088,-0.211775,0.02793,0.046766,0.034519,0.009072,0.151789,0.009114,0.00405
