St1_Pelvis_X,St1_Pelvis_Y,St1_Pelvis_Z,St2_Pelvis_X,St2_Pelvis_Y,St2_Pelvis_Z,St1_Hip_X,St1_Hip_Y,St1_Hip_Z,St2_Hip_X,St2_Hip_Y,St2_Hip_Z,St1_Knee_X,St1_Knee_Y,St1_Knee_Z,St2_Knee_X,St2_Knee_Y,St2_Knee_Z,St1_Ankle_X,St1_Ankle_Y,St1_Ankle_Z,St2_Ankle_X,St2_Ankle_Y,St2_Ankle_Z
3.258,1.531247,4.156172,3.715096,0.286175,4.233971,16.61281,-3.88276,12.837564,18.263956,-2.594625,14.080101,3.29855,0.410882,-36.75861,3.548096,0.671716,-35.243439,-4.630419,5.349699,11.382553,-0.584647,4.838502,9.609621
3.223538,1.484162,4.235137,3.654062,0.248958,4.292447,16.579838,-3.886129,12.826804,18.216225,-2.584688,14.085064,3.332938,0.379872,-36.682461,3.538012,0.652074,-35.224846,-4.742421,5.250012,11.387,-0.739604,4.719802,9.635328
3.188453,1.438536,4.312872,3.592977,0.213699,4.350584,16.547367,-3.887192,12.816457,18.165537,-2.572149,14.087845,3.368666,0.349396,-36.605839,3.527,0.632465,-35.209309,-4.865044,5.143009,11.391401,-0.908767,4.594893,9.661338
3.152781,1.394549,4.389203,3.53194,0.180898,4.407807,16.515572,-3.885824,12.806787,18.11235,-2.556508,14.088697,3.406254,0.319925,-36.529373,3.515871,0.613298,-35.196381,-4.997772,5.029038,11.395472,-1.09116,4.464294,9.687214
3.116575,1.352381,4.46396,3.471056,0.15106,4.463507,16.484638,-3.881904,12.798068,18.057159,-2.537249,14.08789,3.446313,0.291945,-36.453709,3.505608,0.595036,-35.185574,-5.139927,4.908556,11.398888,-1.285546,4.328693,9.71251
3.079895,1.312202,4.536982,3.410442,0.124691,4.517046,16.454748,-3.875313,12.790581,18.000483,-2.513843,14.085701,3.48953,0.265955,-36.379452,3.497339,0.578197,-35.176361,-5.290678,4.78212,11.40129,-1.490432,4.188949,9.736777
3.042813,1.274173,4.608121,3.35022,0.102286,4.567784,16.42609,-3.86594,12.784598,17.942841,-2.485761,14.082403,3.536645,0.24245,-36.307171,3.492309,0.563336,-35.168201,-5.449054,4.650392,11.4023,-1.704091,4.046096,9.75958
3.005414,1.238442,4.67724,3.290519,0.084318,4.615084,16.398846,-3.853682,12.780391,17.884764,-2.452492,14.078264,3.588427,0.221914,-36.237408,3.491851,0.551034,-35.160507,-5.613961,4.51411,11.401521,-1.924587,3.901329,9.780504
2.967785,1.205135,4.74422,3.231476,0.071227,4.658332,16.373186,-3.838454,12.778212,17.826761,-2.413548,14.073531,3.645656,0.204808,-36.170639,3.497326,0.541875,-35.152687,-5.784207,4.374084,11.39855,-2.149827,3.755991,9.799182
2.930022,1.174364,4.808957,3.173227,0.063411,4.696959,16.349277,-3.820183,12.778294,17.769297,-2.368489,14.068416,3.709097,0.19156,-36.107296,3.510087,0.536427,-35.144161,-5.958524,4.231181,11.392988,-2.377603,3.611547,9.815289
